author,text,published_at,likes
@jah7190,Finally! A great advert ❤,2025-11-04T13:25:24Z,5
@keramccann343,I cry every year at these adverts. This year was no exception haha but I blame the pregnancyhormones too. Lovely advert,2025-11-04T13:23:27Z,0
@francescajohnston6194,It's not an ad.. it's literally ripped off aftersun?,2025-11-04T13:21:35Z,1
@aleugenio,Wow! It brought me tears... The memories that music can give us. Alison Limerick on loop during the festive season! ✊🏽💖🎶🪩🌲,2025-11-04T13:19:43Z,0
@inkeriperonius6107,Still love the Boxer doggo!,2025-11-04T13:14:55Z,0
@adeventuresuk,Well it certainly got me 🙏🙏🙏,2025-11-04T13:12:02Z,0
@se4nyboy,Well this country has pretty much killed Christmas any way as well as any other Christian holiday but the add is bad,2025-11-04T13:11:09Z,0
@Carmine_Lupertazzi,"Well done JL, I actually cried in front of my son whilst watching this. Best commercial I've seen in over a decade.  Merry Christmas x",2025-11-04T13:10:22Z,24
@georgedalton3873,Very well done John Lewis for the terrific 2025 Christmas Advert.,2025-11-04T13:06:17Z,0
@C.P-t8i,Aftersun will see you in court,2025-11-04T13:04:53Z,7
@DjJDtech,what a miserable xmas advert,2025-11-04T13:04:29Z,2
@394pjo,A very clever way of deliberately toning down the christian imagery and festivities that has always been central to all previous John Lewis Ads. And judging by the comments here it has worked a treat.,2025-11-04T13:04:17Z,0
@TheRedhot47,"Nostalgia and love, you can't go wrong with that for the Christmas period... love it ❤",2025-11-04T13:00:47Z,1
@annekathleen4498,I think it's beautiful. We need more positive images of dad's.,2025-11-04T13:00:09Z,328
@RogueWJL,"Beautiful.

Premier choice of music-one of the finest from the fabulous 1990s.",2025-11-04T12:58:31Z,0
@AsianChubbiBunni,WTH I literally used this marketing concept using an old man and all being transported in time through music.,2025-11-04T12:51:07Z,0
@pzmills,"I was too young to rave in the 90s but this song got me dancing at my desk while WFH, then the change in tempo 😢 - great ad!",2025-11-04T12:49:19Z,5
@TOMCATPAUL14,❤❤❤❤❤❤❤❤❤❤,2025-11-04T12:48:52Z,0
@benmorris697,*watches aftersun once*,2025-11-04T12:48:29Z,1
@katieprandle5613,Was amazing until whoever started singing the slowed down version.,2025-11-04T12:43:21Z,0
@Ennahdee,Ebeneezer Goode would've been a better choice,2025-11-04T12:40:44Z,2
@lockleaze,So what is the “official” John Lewis Xmas ad? Because I thought it was the Angel on the tree one?,2025-11-04T12:39:58Z,0
@lesleypinnelli8819,Wow. I was in tears watching this. Really tugs on the heartstrings. Wonder if this will aid father and sons bonding?,2025-11-04T12:38:20Z,1
@DanHey08,Well done John Lewis.,2025-11-04T12:36:09Z,0
@bigmikex11,Well done John Lewis I lost my son 2017 I love this advert thank you 🙂,2025-11-04T12:34:59Z,204
@user-mi4ey6bb1e,It's Sh*t!. Tell us your creative team had no cash to spend on an advert this yr without telling us🙄,2025-11-04T12:28:31Z,2
@sim-b123,I miss these days sooooo much,2025-11-04T12:28:00Z,0
@sim-b123,😭😭😭😭😭😭😭,2025-11-04T12:27:31Z,0
@milkand1,❤ I'm an old dad and I feel this. Bonding over music,2025-11-04T12:25:34Z,1
@andrew12348,"""Thanks, but I've got the original pressing of this son, got a receipt?""",2025-11-04T12:22:34Z,0
@lambo6134,That one got me! Great job John Lewis,2025-11-04T12:20:16Z,0
@kaisershmoo,"OMG! I'm a 56 yr old Dad with a 15 yr old son going through a horrible separation with his Mum. My son hasn't spoken to me or seen me for almost a year. this ad just hit an absolute nerve. I used to rave back in the day and this Alison Limerick tune is my all time favourite tune. the flash backs of the son as a toddler, everything - I've been in bits watching this in bits 😭",2025-11-04T12:15:05Z,517
@JonathanTUTOR-jp3ci,Not doing it for me. Feels too short. Not keen on the song; doesn’t feel Christmassy - feels more like a birthday advertisement. The boy can always text his dad as we’re not living in the 90s now.,2025-11-04T12:14:50Z,2
@JamesWynne-r6h,But John Lewis don't sell vinyl!!!,2025-11-04T12:13:14Z,0
@dazo1872,Lovely,2025-11-04T12:06:45Z,0
@Adam-em1oc,Sadly men and boys still find it tough to express their feelings 😢,2025-11-04T12:06:41Z,5
@JamesLee-qy1fj,"Genius 
This wins",2025-11-04T12:05:55Z,1
@Clara-ph7my,Dad dancing (my husband) is the biggest laugh in our house. Especially when rave music gets played. ''You're twistin' my melon man'. Love our Christmas with our now grown children and grand child. It is sharing life times and memories and some bloomin decent music also!,2025-11-04T12:03:40Z,2
@busterljf7662,Brilliantly made and with a genuine meaning and focus unlike the majority who just turn out the usual DEI tripe,2025-11-04T12:00:32Z,1
@TwoGenOneTeam,Probably a controversial opinion but it’s not the greatest Christmas advert. I doubt John Lewis will be in the running for the ‘best Christmas advert’ this year unfortunately.,2025-11-04T11:58:53Z,8
@beckybird2156,Loved it……❤❤❤,2025-11-04T11:57:36Z,0
@Timjacks01,Kids hard drive needs checking,2025-11-04T11:56:41Z,0
@Kev.Channel,One of John Lewis's best Christmas adverts so far 👊🏼,2025-11-04T11:53:15Z,166
@gemmi1,I don't get it,2025-11-04T11:51:37Z,1
@joaoguimaraes5430,Love it!!!!,2025-11-04T11:48:44Z,0
@JemTheWire,"Sorry, doesn't do it for me.",2025-11-04T11:47:33Z,1
@samuelsupple2105,I’m not crying you’re crying 😭 🎄 ⛄️beautiful ad,2025-11-04T11:47:04Z,28
@JacopoGi,Loving it! Happy Xmas all,2025-11-04T11:43:11Z,0
@rh6777,The young lad is a spits of Sam Fender,2025-11-04T11:36:09Z,0
@RetroJames75,"After years of copy/paste ""child with animal/imaginary creature/let's chuck as much CGI at it"" campaigns, this one is absolutely brilliant. It really got me - the first great John Lewis Christmas advert since 2011. Back to people and simplicity. As a 50 year-old dad with an 18 year old son, I can totally relate to this.",2025-11-04T11:30:51Z,76
@johnjchapman1463,Positive masculinity and the timing couldn't be better!,2025-11-04T11:30:35Z,809
@emmacheeseman5440,What a lovely advert! Its so lovely to have an advert where fathers and sons are bonding and showing love for each other its so often overlooked in media xx,2025-11-04T11:30:35Z,97
@danieljamesmead,"As someone who thinks 'THE' scene in Aftersun is one of the most powerful, original, heart wrenching things I've ever watched, I think this advert is utterly shameless. Its wholesale ripped it off for commercial gain. Yuck.",2025-11-04T11:26:51Z,11
@QuizTimeUK,"Great advert! Music is a ‘Time Machine’, although it takes us all to some place different.",2025-11-04T11:26:04Z,0
@clarksonbarry,Christmas is more than just party and presents,2025-11-04T11:23:35Z,0
@leonardmartingeraghty5079,"No Xmas vibe for me,sorry a Big No !!!",2025-11-04T11:20:45Z,1
@maddad4291,"Finally just a lovely Christmas advert with no hidden agendas,well done👍",2025-11-04T11:17:06Z,1
@RUSH2112RUSH,"Judging by the comments I guess I'm in the minority, and likely missing something, but I just find this advert rather depressing. 
Just for clarification I'm a man in his early 60s and have a son and daughter both in their mid 30s.",2025-11-04T11:15:32Z,4
@MG63,Alison Limerick we love you.  👍❤👍  Thanks JL.,2025-11-04T11:12:15Z,8
@MixerandMrs,"How relatable, I am the oldest out of me and my bro. And have a dad who loves all 80's music (mum not so much - shes too young for all that 😂) we all have a record player and express as much of our history and feelings in music that we love. JL has produced a non expensive gift giving advert without theatrics and not even a major push on their stores. Its not an advert screaming john lewis and partners...its a Christmas advert that pulls at heart strings, makes you smile, makes you think.... yeah, you got it right. Followed by..... I think im getting in the mood for Christmas.... I wonder how mum and dad are? :)",2025-11-04T11:11:13Z,14
@daleingham4657,Where is the blended family?,2025-11-04T11:10:43Z,0
@Bacon0oo0,a none blended family on an advert!??! lol,2025-11-04T11:06:40Z,7
@MrAnderson321,"Finally, John Lewis hits the spot. 
Let the Christmas spirit begin! 🎄",2025-11-04T11:06:10Z,227
@DMacsPlace,"This is one of their best in a while and harkens back to the days when the message was simple, the song was perfect and there wasn't a lot of gimmickry or CGI in their ads. As a man in his 40s, I'm not afraid to say that the minute he started dancing to that 90s House record, I bawled. And when he 'met' his son in his club days memories, I bawled some more. 

Great work, John Lewis & Partners!",2025-11-04T10:56:38Z,11
@rafaelsays175,I must be devoid of emotions…,2025-11-04T10:52:59Z,36
@Jayne-k1b,Fantastic wholesome British advert! Welcome back John Lewis ❤,2025-11-04T10:50:35Z,119
@cambteach7778,Oh yes!!! Great tune. Love the ad. Thank you JL.,2025-11-04T10:48:05Z,1
@yukatanchiller,For a dad with two young boys who has blasted this exact tune it is one classic emotional rollercoaster that advert. John lewis kills it with their adverts everytime.,2025-11-04T10:44:53Z,49
@davidwalterhall,"If you watched Aftersun and thought it was a bit of a downer, this could be for you.",2025-11-04T10:37:52Z,1
@squirrelscanfly2547,There is no Christmas soul in these adverts anymore. I've got zero Christmas vibes from this and I'm 47 year old dad who well remembers the 90s... You need to to get back to the drawing board John Lewis.,2025-11-04T10:37:39Z,6
@craigjenkins1674,Bring back Edgar the dragon.,2025-11-04T10:33:53Z,1
@graemehuntley2363,What an advert... unreal,2025-11-04T10:33:47Z,1
@chrisChris6969,"Absolutely done in  after watching that 😢😢😢

This is exactly my son & I , we do these things together and we both love Where love lives ❤",2025-11-04T10:33:08Z,13
@user-vh6ts9uf6c,Wow John Lewis remembered what a dad was. Refreshing.,2025-11-04T10:27:41Z,280
@AndrewA-gt4fl,Hope they are paying Charlotte Wells royalties.,2025-11-04T10:23:30Z,5
@flipdip8008,not like a.john lewis ad since buster on the trampoline but love this,2025-11-04T10:21:52Z,2
@angieshepherd2922,First one that's given me the feels since The Man on the Moon. Nice work.,2025-11-04T10:21:43Z,1
@HaTer-xs8sh,Oh how they've fallen! This was rubbish! To think John Lewis used to be the best at Christmas ads!,2025-11-04T10:21:35Z,1
@conradknightsocksknight1590,Nice but why ruin it with that awful updated version 😕,2025-11-04T10:21:22Z,0
@thomastaylor1575,X factor style faux emotional drivel,2025-11-04T10:14:52Z,1
@wristopia4101,What's going on with that family?,2025-11-04T10:14:32Z,2
@Myth_10,Great advert. I'm 52 and was into the club thing back in the day. Lost my dad last year.,2025-11-04T10:11:46Z,9
@stephenwoodrow1334,Sorry partners....looks like another year without a bonus!,2025-11-04T10:10:34Z,2
@Sergclubclass,"You’ve absolutely nailed this , Alison Limerick is a hero to that generation and this gets you in all the feels ❤❤ 

Ps - the music supervisor and advertising company need a pay rise 👏👏👏",2025-11-04T10:09:08Z,1
@TelepartyPlays,Great advert. Finally fathers get some love from John Lewis. Sons and fathers bonding is needed more than ever in the current climate.,2025-11-04T10:08:56Z,713
@Lin.J333,"Missing something ,couldn't really work out what it was about to be honest",2025-11-04T10:08:10Z,5
@pandmscarrott4212,Superb! JL do it again!🎄 Goosebumps plus brought a tear to my eye. A proper ad with emotion and a real message ❤,2025-11-04T10:05:21Z,8
@jellyshoes6056,Absolutely brilliant,2025-11-04T09:59:59Z,4
@lewissaunders7328,John Lewis are definitely back on form 👌,2025-11-04T09:59:58Z,1
@tazmo2237,Not very Christmassy is it? 🫤,2025-11-04T09:51:59Z,4
@peterpersonalstylist,@HMV are going to do BRILLIANT out of this advert 💯,2025-11-04T09:50:43Z,1
@absolutebensmith,I get what they were trying to do - but it just doesn't land for me.,2025-11-04T09:46:59Z,5
@andrewshilcock2958,"For me personally this is the best advert ever, subjective maybe but it got me🕺😢❤️",2025-11-04T09:46:30Z,4
@ohlawddddd,"""There are no white people in adverts anymore"" 🤡",2025-11-04T09:44:32Z,1
@seanjones180,Thinking of gb news viewers at this very difficult time,2025-11-04T09:43:27Z,1
@BrysHogan,It's terrible,2025-11-04T09:42:36Z,1
@gooner10a15,Why did they have to go and spoil a banging tune 🙄,2025-11-04T09:42:01Z,1
@marianlonge3060,"AHHHH BEAUTIFUL AND THOUGHTFUL, A TRUE JOHN LEWIS ADVERT ❤❤❤❤",2025-11-04T09:40:07Z,2
@QuadTheGambler,Getting worse every year,2025-11-04T09:39:26Z,6
@ThomasTaylor-u2b,So he wants Singing lessons for Christmas. Do they sell that at John Lewis?,2025-11-04T09:39:03Z,0
@GARETHFOWLER-c1f,"if people only new how hard this to watch when your sons mother took him from you some 20 years ago,",2025-11-04T09:37:17Z,9
@iSuRRendeReDuK,They forgot to add Christmas again.,2025-11-04T09:37:15Z,12
@iestyndavies7287,Yet another dud from John Lewis. When did Christmas stop being about fun?,2025-11-04T09:36:26Z,1
@elrondriel,Not surprised John Lewis turned comments off this is a really odd advert not christmasey at all,2025-11-04T09:36:10Z,12
@rosettasilvermist,First time in years the John Lewis ad has been bad!!,2025-11-04T09:35:29Z,5
@tenparkdrive,It’s a start ❤,2025-11-04T09:33:47Z,0
@campingwithstyle,Well played! Their primary target audience is the GenXers and our millennial kids who grew up with the music we were listening to. This hit me right in the feels and the message I got was that one well-thought-out gift can have a profound impact.,2025-11-04T09:33:38Z,3
@Jimboreeee,Thanks a lot John Lewis I'm crying now,2025-11-04T09:32:01Z,19
@colettestj,"I usually hate all Christmas ads, but this was like it was made especially for me. I was a raver/club goer in the 90's & this song was often played at the end of a great night. I also have a son I'd like to be closer with - it really got me.",2025-11-04T09:31:43Z,117
@mavetyan,"The problem with that dad that his poor son was in the same blue sweater from when he was baby, lol. Buy the poor guy some more clothes.",2025-11-04T09:31:37Z,35
@44stephenvaughan,Nice to see brands dump social justice and return to just a well made Ad.,2025-11-04T09:31:16Z,17
@kennymcclymont2066,Awful. Don’t see this going down well.,2025-11-04T09:30:36Z,1
@zachholmes9258,"Can’t wait for @samtealeproductions Christmas ad this year, proper Christmas ad like the old ones",2025-11-04T09:27:15Z,0
@mrk2K10,"Christmas ads are not supposed to make you cry, are they?",2025-11-04T09:24:43Z,8
@lorrainemckeown301,It's up there with one of the worst Christmas ads I've seen. Such a let down from JL.,2025-11-04T09:21:58Z,9
@guardiannews,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,2025-11-04T09:21:26Z,40
@lbukem4259,"I hate the sentimentality of Christmas adverts. Please don't ruin a song I associate with amazing nights out, with tear jerker Christmas mush.",2025-11-04T09:18:16Z,0
@clairduffy60,Xmas no.1?,2025-11-04T09:16:24Z,3
@sirands,"For my 50th birthday this year my  son made me a playlist of 50 songs, for every year of my life… the power of music to span generations and bring a father and son together ❤",2025-11-04T09:15:13Z,383
@HelenSwims,I remember that song 🎵.,2025-11-04T09:13:20Z,4
@rt3455rr2,Pacing is all over the shop. Just as it started to get emotional it ended.,2025-11-04T09:12:41Z,3
@TeCoEd,"Remember Dads, love for your son is for life, not just for Christmas. ❤",2025-11-04T09:11:56Z,72
@evealex72,Great video ruined by the abomination of that ‘where love lives’ recreation 🤢,2025-11-04T09:10:38Z,4
@MrMarkiddon,Ooof as a Dad with a 14 year old son. This got me right in the feels.,2025-11-04T09:07:27Z,228
@Graphicxtras,"Wonderful ad as ever, and a superb song as well",2025-11-04T09:07:06Z,8
@AdamJamesMagic,Nailed it!,2025-11-04T09:06:28Z,4
@OriginalSkaMan,Yeah not really christmassy,2025-11-04T09:05:40Z,7
@philcoverdale6216,Bring back edger the dragon,2025-11-04T09:03:53Z,21
@EnigmaState,Something tells me AI is all over this video.,2025-11-04T08:59:20Z,5
@andybigbs9466,Oh happy Christmas 🙄,2025-11-04T08:57:42Z,5
@Dreadwyn,"It’s awful. What a complete load of nonsense. Take the Christmas tree out and it’s like a particularly bad episode of Black Mirror. 
Christmas is officially dead. John Lewis just confirmed it.",2025-11-04T08:46:44Z,11
@katee87938,Worst advert they’ve done yet,2025-11-04T08:44:57Z,11
@jmcd31,Love this ❤,2025-11-04T08:36:36Z,4
@paulc180,quite depressing in my opinion.,2025-11-04T08:35:44Z,13
@petebee123,"Crying as much as I do at certain episodes of Bluey (Baby Race, Sleepytime - you know the ones 🥹)

Fair play, JL 👏🏼",2025-11-04T08:27:39Z,8
@rosscollins8090,Didn't give me the Christmas feels. Definitely preferred some of the previous ads!,2025-11-04T08:26:34Z,63
@amandaoconnor5357,Best one they’ve ever done!,2025-11-04T08:20:28Z,9
@shilpamistry-patel6735,Perfect ❤,2025-11-04T08:19:25Z,2
@saratemp790,Real families don't usually get that sentimental. Edit - but well-directed anyway. Very chic.,2025-11-04T08:16:42Z,9
@mudstuff,"If you can't find the words, find the gift.

Not bad!",2025-11-04T08:12:40Z,4
@wiseget-g2x,The leftist Guardian reader doesn’t like Christmas!,2025-11-04T08:09:47Z,14
@antoinette6126,Love,2025-11-04T08:09:20Z,2
@wriggs74,What a pile of horse manure. Being stationed in Afghanistan felt more like Christmas than this advert.,2025-11-04T08:03:46Z,12
@ea1615,"Yeah, not quite Christmassy, but i like the story. Even though i connect that particular club era of ectasy tabs and whistles.",2025-11-04T07:42:41Z,14
@221BSam,"Very topical, well executed.",2025-11-04T07:36:36Z,3
